"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","MANAGER_ID","DEPARTMENT_ID","DEPARTMENT_ID","DEPARTMENT_NAME","LOCATION_ID"
"198","Donald","OConnell","DOCONNEL","650.507.9833","21-JUN-07","NULL","2600","100","124","121","50","50","Shipping","1500"
"199","Douglas","Grant","DGRANT","650.507.9844","13-JAN-08","NULL","2600","100","124","121","50","50","Shipping","1500"
"200","Jennifer","Whalen","JWHALEN","515.123.4444","17-SEP-03","NULL","4400","100","101","200","10","10","Administration","1700"
"201","Michael","Hartstein","MHARTSTE","515.123.5555","17-FEB-04","NULL","13000","100","100","201","20","20","Marketing","1800"
"202","Pat","Fay","PFAY","603.123.6666","17-AUG-05","NULL","6000","100","201","201","20","20","Marketing","1800"
"203","Susan","Mavris","SMAVRIS","515.123.7777","07-JUN-02","NULL","6500","100","101","203","40","40","Human Resources","2400"
"204","Hermann","Baer","HBAER","515.123.8888","07-JUN-02","NULL","10000","100","101","204","70","70","Public Relations","2700"
"205","Shelley","Higgins","SHIGGINS","515.123.8080","07-JUN-02","NULL","12008","100","101","205","110","110","Accounting","1700"
"206","William","Gietz","WGIETZ","515.123.8181","07-JUN-02","NULL","8300","100","205","205","110","110","Accounting","1700"
"100","Steven","King","SKING","515.123.4567","17-JUN-03","NULL","24000","100","100","100","90","90","Executive","1700"
"101","Neena","Kochhar","NKOCHHAR","515.123.4568","21-SEP-05","NULL","17000","100","100","100","90","90","Executive","1700"
"102","Lex","De Haan","LDEHAAN","515.123.4569","13-JAN-01","NULL","17000","100","100","100","90","90","Executive","1700"
"103","Alexander","Hunold","AHUNOLD","590.423.4567","03-JAN-06","NULL","9000","100","102","103","60","60","IT","1400"
"104","Bruce","Ernst","BERNST","590.423.4568","21-MAY-07","NULL","6000","100","103","103","60","60","IT","1400"
"105","David","Austin","DAUSTIN","590.423.4569","25-JUN-05","NULL","4800","100","103","103","60","60","IT","1400"
"106","Valli","Pataballa","VPATABAL","590.423.4560","05-FEB-06","NULL","4800","100","103","103","60","60","IT","1400"
"107","Diana","Lorentz","DLORENTZ","590.423.5567","07-FEB-07","NULL","4200","100","103","103","60","60","IT","1400"
"108","Nancy","Greenberg","NGREENBE","515.124.4569","17-AUG-02","NULL","12008","100","101","108","100","100","Finance","1700"
"109","Daniel","Faviet","DFAVIET","515.124.4169","16-AUG-02","NULL","9000","100","108","108","100","100","Finance","1700"
"110","John","Chen","JCHEN","515.124.4269","28-SEP-05","NULL","8200","100","108","108","100","100","Finance","1700"
"111","Ismael","Sciarra","ISCIARRA","515.124.4369","30-SEP-05","NULL","7700","100","108","108","100","100","Finance","1700"
"112","Jose Manuel","Urman","JMURMAN","515.124.4469","07-MAR-06","NULL","7800","100","108","108","100","100","Finance","1700"
"113","Luis","Popp","LPOPP","515.124.4567","07-DEC-07","NULL","6900","100","108","108","100","100","Finance","1700"
"114","Den","Raphaely","DRAPHEAL","515.127.4561","07-DEC-02","NULL","11000","100","100","114","30","30","Purchasing","1700"
"115","Alexander","Khoo","AKHOO","515.127.4562","18-MAY-03","NULL","3100","100","114","114","30","30","Purchasing","1700"
"116","Shelli","Baida","SBAIDA","515.127.4563","24-DEC-05","NULL","2900","100","114","114","30","30","Purchasing","1700"
"117","Sigal","Tobias","STOBIAS","515.127.4564","24-JUL-05","NULL","2800","100","114","114","30","30","Purchasing","1700"
"118","Guy","Himuro","GHIMURO","515.127.4565","15-NOV-06","NULL","2600","100","114","114","30","30","Purchasing","1700"
"119","Karen","Colmenares","KCOLMENA","515.127.4566","10-AUG-07","NULL","2500","100","114","114","30","30","Purchasing","1700"
"120","Matthew","Weiss","MWEISS","650.123.1234","18-JUL-04","NULL","8000","100","100","121","50","50","Shipping","1500"
"121","Adam","Fripp","AFRIPP","650.123.2234","10-APR-05","NULL","8200","100","100","121","50","50","Shipping","1500"
"122","Payam","Kaufling","PKAUFLIN","650.123.3234","01-MAY-03","NULL","7900","100","100","121","50","50","Shipping","1500"
"123","Shanta","Vollman","SVOLLMAN","650.123.4234","10-OCT-05","NULL","6500","100","100","121","50","50","Shipping","1500"
"124","Kevin","Mourgos","KMOURGOS","650.123.5234","16-NOV-07","NULL","5800","100","100","121","50","50","Shipping","1500"
"125","Julia","Nayer","JNAYER","650.124.1214","16-JUL-05","NULL","3200","100","120","121","50","50","Shipping","1500"
"126","Irene","Mikkilineni","IMIKKILI","650.124.1224","28-SEP-06","NULL","2700","100","120","121","50","50","Shipping","1500"
"127","James","Landry","JLANDRY","650.124.1334","14-JAN-07","NULL","2400","100","120","121","50","50","Shipping","1500"
"128","Steven","Markle","SMARKLE","650.124.1434","08-MAR-08","NULL","2200","100","120","121","50","50","Shipping","1500"
"129","Laura","Bissot","LBISSOT","650.124.5234","20-AUG-05","NULL","3300","100","121","121","50","50","Shipping","1500"
"130","Mozhe","Atkinson","MATKINSO","650.124.6234","30-OCT-05","NULL","2800","100","121","121","50","50","Shipping","1500"
"131","James","Marlow","JAMRLOW","650.124.7234","16-FEB-05","NULL","2500","100","121","121","50","50","Shipping","1500"
"132","TJ","Olson","TJOLSON","650.124.8234","10-APR-07","NULL","2100","100","121","121","50","50","Shipping","1500"
"133","Jason","Mallin","JMALLIN","650.127.1934","14-JUN-04","NULL","3300","100","122","121","50","50","Shipping","1500"
"134","Michael","Rogers","MROGERS","650.127.1834","26-AUG-06","NULL","2900","100","122","121","50","50","Shipping","1500"
"135","Ki","Gee","KGEE","650.127.1734","12-DEC-07","NULL","2400","100","122","121","50","50","Shipping","1500"
"136","Hazel","Philtanker","HPHILTAN","650.127.1634","06-FEB-08","NULL","2200","100","122","121","50","50","Shipping","1500"
"137","Renske","Ladwig","RLADWIG","650.121.1234","14-JUL-03","NULL","3600","100","123","121","50","50","Shipping","1500"
"138","Stephen","Stiles","SSTILES","650.121.2034","26-OCT-05","NULL","3200","100","123","121","50","50","Shipping","1500"
"139","John","Seo","JSEO","650.121.2019","12-FEB-06","NULL","2700","100","123","121","50","50","Shipping","1500"
"140","Joshua","Patel","JPATEL","650.121.1834","06-APR-06","NULL","2500","100","123","121","50","50","Shipping","1500"
